Aluminum,mela intrenational,011 156 4546,091 120 4199,Addis Ababa,,,,,
Aluminum,mela enterprise,011 157 0823,011 157 0823,Addis Ababa,,,,,
Aluminum,Melody aluminum Work plc,091 102 6914,091 102 6914,Addis Ababa,,,,,
Aluminum,Mohal general alumnium works plc,091 123 2318,093 003 4747,Addis Ababa,,,,,
Aluminum,Sekas Aluminum,091 112 1987,091 112 1987,Addis Ababa,,,,,
Aluminum,Super Double General Trading,091 300 4619,091 300 4619,Addis Ababa,,,,,
Aluminum,SYNERGY ALUMINIUM TECHNICS PLC,011 662 0524,011 662 0524,Addis Ababa,,,,,
Aluminum,sab pplc,011 663 5050,091 120 1864,Addis Ababa,,,,,
Aluminum,SADOR ALUMINIM TECHNICS PLC,091 120 2513,091 120 5705,Addis Ababa,,,,,
Aluminum,set general trading,011 664 1738,011 664 1738,Addis Ababa,,,,,
Aluminum,THREE SAM ALUMINIUM & ACCESSORY PLC,011 155 2750,091 121 1559,Addis Ababa,,,,,
Aluminum,Sky Aluminum,093 534 7660,093 534 7660,Addis Ababa,,,,,
Aluminum,SKY ALUMINUM WORK PLC,091 152 9722,091 152 9722,Addis Ababa,,,,,
Aluminum,SHIMELES BEZUNEH ALMUNIUM IMPORT AND SALES,091 208 3514,091 208 3514,Addis Ababa,,,,,
Aluminum,beyene gemechu aluminum work,091 352 9698,009 135 2969,Addis Ababa,,,,,
Aluminum,BBD Aluminum,091 143 5404,092 243 0019,Addis Ababa,,,,,
Aluminum,B & C Aluminum Plc,011 662 7900,091 141 4875,Addis Ababa,,,,,
Aluminum,b and g aluminium and mechanical plc,091 149 2332,091 141 7845,Addis Ababa,,,,,
Aluminum,B&C ALUMINIUM PLC,011 663 8046,001 166 3804,Addis Ababa,,,,,
Aluminum,BC aluminum,011 163 4286,009 116 3804,Addis Ababa,,,,,
Aluminum,Bistima LED & Display World,011 667 0878,094 130 3030,Addis Ababa,,,,,
Aluminum,BT Aluminum & Glass Works,091 151 7953,091 151 7953,Addis Ababa,,,,,
Aluminum,Build Teck Engineering,091 152 9261,091 142 8752,Addis Ababa,,,,,
Aluminum,Balaaji,091 334 9310,091 334 9310,Addis Ababa,,,,,
Aluminum,bati aluminum and mirror work,091 179 3904,091 179 3904,Addis Ababa,,,,,
Aluminum,biruk tefera aluminium and iron manufacturing,091 123 4227,091 123 4227,Addis Ababa,,,,,
Aluminum,biruk jemberu aluminium works,092 197 3618,009 219 7361,Addis Ababa,,,,,
Aluminum,Bright Aluminum Extrusion,011 618 8650,011 618 5016,Addis Ababa,,,,,
Aluminum,bros alumniium,091 144 2931,091 144 2931,Addis Ababa,,,,,
Aluminum,bogalech waken,011 442 2304,011 515 3519,Addis Ababa,,,,,
Aluminum,Tera Business Group,093 010 5490,093 010 5490,Addis Ababa,,,,,
Aluminum,TR Aluminium Metal Wood Work,092 296 3543,092 296 3543,Addis Ababa,,,,,
Aluminum,Trident Engineering plc,011 114 0802,091 121 6330,Addis Ababa,,,,,
Aluminum,Negash Wendosen General Aluminum Work,091 338 7308,091 338 7308,Addis Ababa,,,,,
Aluminum,NATANIM ALUMINUM,091 116 9739,091 116 9739,Addis Ababa,,,,,
Aluminum,ahimed nour aluminum work,011 439 4808,011 439 4808,Addis Ababa,,,,,
Aluminum,Alu adiss plc,011 552 4459,011 552 4459,Addis Ababa,,,,,
Aluminum,ALUMINIUM FOIL PRODUCTS PLC,093 001 1125,093 001 1125,Addis Ababa,,,,,
Aluminum,ALUMET PRODUCTS PLC,011 277 3644,091 122 9989,Addis Ababa,,,,,
Aluminum,Alum business PLC,011 111 3045,091 120 4414,Addis Ababa,,,,,
Aluminum,ALMUNIUM SYSTEM PLC,011 663 2100,011 663 2100,Addis Ababa,,,,,
Aluminum,alluminum work science and tadu,091 348 2663,091 348 2663,Addis Ababa,,,,,
Aluminum,Aluminium World Trading Plc,011 372 0044,011 552 6597,Addis Ababa,,,,,
Aluminum,ALMUNIUM WORLD,091 122 2703,091 122 2703,Addis Ababa,,,,,
Aluminum,Al-Met Technology,091 191 0520,091 191 0520,Addis Ababa,,,,,
Aluminum,ALTA ALUMINUM WORK,011 840 0743,011 840 0743,Addis Ababa,,,,,
Aluminum,Alco Aluminum Engineering plc,091 120 6960,091 120 6960,Addis Ababa,,,,,
Aluminum,asal plc,011 439 5810,091 186 8891,Addis Ababa,,,,,
Aluminum,Abebaw Bekele Metal & Wood Work,091 181 3557,091 181 3557,Addis Ababa,,,,,
Aluminum,abrehet almunium,091 126 4682,091 126 4682,Addis Ababa,,,,,
Aluminum,Anuni Aluminuem Works Plc,092 615 1010,092 615 1010,Addis Ababa,,,,,
Aluminum,Anfor Aluminum Iron Works,092 236 8426,092 236 8426,Addis Ababa,,,,,
Aluminum,Akisis Aluminum Work,011 662 2484,091 142 6723,Addis Ababa,,,,,
Aluminum,AKAddis AbabaS ALUMINIME,091 197 7192,091 197 7192,Addis Ababa,,,,,
Aluminum,ETM ALUMENUM PLC,091 116 5984,091 116 5984,Addis Ababa,,,,,
Aluminum,ISITILA ALUMINUM AND PVC PLC,091 005 9579,091 005 9579,Addis Ababa,,,,,
Aluminum,EBH Aluminum Works,091 160 3170,091 160 3170,Addis Ababa,,,,,
Aluminum,etm aluminum,011 124 6664,011 124 6664,Addis Ababa,,,,,
Aluminum,ETHIO GRECK ALUMINIUM & IRON WORKS SERVICE PLC,011 443 1715,011 443 1715,Addis Ababa,,,,,
Aluminum,inter africa,011 651 0069,011 651 0069,Addis Ababa,,,,,
Aluminum,Interafric Extrusion,011 849 0101,091 161 8042,Addis Ababa,,,,,
Aluminum,SHS Fame,091 331 7186,091 331 7186,Addis Ababa,,,,,
Aluminum,S.SARA ALUMINIUM WORKS,011 147 0437,011 470 4359,Addis Ababa,,,,,
Aluminum,A.R.T trading,091 034 9748,091 034 9748,Addis Ababa,,,,,
Aluminum,Keal Works Plc,011 372 6663,011 372 6663,Addis Ababa,,,,,
Aluminum,Colash Aluminum plc,091 125 2477,091 125 2477,Addis Ababa,,,,,
Aluminum,COMET ALUMINUM AND GLASS WORK PLC,011 895 1818,011 895 1818,Addis Ababa,,,,,
