Industry,Mercimoy Industry & commerce,011 663 0185,011 663 0185,Addis Ababa,,,,,
Industry,Munich Shoes And Leather Products,011 276 6036,011 276 6036,Addis Ababa,,,,,
Industry,Mirona Industry Plc,011 629 4483,091 139 6139,Addis Ababa,,,,,
Industry,MET CAN INDUSTRIES,091 152 7786,091 152 7786,Addis Ababa,,,,,
Industry,Maru metal industry,011 465 4433,011 465 4433,Addis Ababa,,,,,
Industry,mikyad pvt .ltd,011 419 7525,011 419 7525,Addis Ababa,,,,,
Industry,Mikyad Pvt.Ltd Company,011 419 7225,011 419 7225,Addis Ababa,,,,,
Industry,Moab PLC,011 442 5585,001 144 2586,Addis Ababa,,,,,
Industry,SEKELA INDUSTRIALS,091 162 1332,091 430 0212,Addis Ababa,,,,,
Industry,c&e brothers steel factory plc,011 126 2143,011 126 2107,Addis Ababa,,,,,
Industry,Sasco industrialtrading and transport,011 156 0611,091 120 2301,Addis Ababa,,,,,
Industry,CET INDUSTRIALS PLC,091 150 2123,091 150 2123,Addis Ababa,,,,,
Industry,Steel Mete Trading House,011 860 1173,093 001 4170,Addis Ababa,,,,,
Industry,STELA TRADE & INDUSTRY,011 651 3169,011 651 3169,Addis Ababa,,,,,
Industry,Skem Soap Manufacturing,091 367 7334,091 367 7334,Addis Ababa,,,,,
Industry,soliana plastic and product industry,091 121 8784,091 121 8784,Addis Ababa,,,,,
Industry,Sorga Agro Industrial Complex PLC,091 218 0013,091 218 0013,Addis Ababa,,,,,
